,key,val,val
306,Kiến trúc,7580101,7580101
307,Toán kinh tế,7310108,7310108
308,Kỹ thuật sinh học,7420202,7420202
309,Kỹ thuật phần mềm,7480103C,7480103C
310,Quy hoạch vùng và đô thị,7580105CLC,7580105CLC
311,Địa kỹ thuật xây dựng,7580211,7580211
312,Quản lý bệnh viện,7720802,7720802
313,Y học dự phòng,7720110,7720110
314,Kỹ thuật xét nghiệm y học,7720601,7720601
315,Kỹ thuật hình ảnh y học,7720602,7720602
316,Y tế công cộng,7720701,7720701
317,Quản trị văn phòng,QHX17,QHX17
318,Truyền thông đa phương tiện,7320104,7320104
319,An toàn thông tin,7480202,7480202
320,Công nghệ kỹ thuật ô tô,7510205,7510205
321,Kỹ thuật y sinh,7520212,7520212
322,"Công nghệ dệt, may",7540204,7540204
323,Quản lý xây dựng,7580302,7580302
324,Dược học: - Sản xuất & phát triển thuốc - Dược lâm sàng - Quản lý & cung ứng thuốc,7720201,7720201
325,Công nghệ thực phẩm: - Công nghệ sau thu hoạch - Công nghệ thực phẩm - Quản lý sản xuất & cung ứng thực phẩm - Công nghệ chế biến thủy hải sản,7540101,7540101
326,Kỹ thuật môi trường: - Kỹ thuật môi trường - Quản lý tài nguyên & môi trường - Cấp thoát nước & môi trường nước,7520320,7520320
327,Công nghệ sinh học - Công nghệ sinh học nông nghiệp - Công nghệ sinh học thực phẩm & sức khỏe - Công nghệ sinh học môi trường,7420201,7420201
328,Công nghệ thông tin: - Mạng máy tính & truyền thông - Công nghệ phần mềm - Hệ thống thông tin,7480201,7480201
329,Kế toán: - Kế toán kiểm toán - Kế toán ngân hàng - Kế toán tài chính,7340301,7340301
330,Tài chính - Ngân hàng: - Tài chính doanh nghiệp - Tài chính thuế - Tài chính ngân hàng - Tài chính bảo hiểm,7340201,7340201
331,Marketing: - Marketing tổng hợp - Marketing truyền thông - Quản trị Marketing,7340115,7340115
332,Quản trị kinh doanh - Quản trị doanh nghiệp - Quản trị ngoại thương - Quản trị nhân sự - Quản trị hàng không - Quản trị logistics,7340101,7340101
333,Kinh doanh quốc tế: - Thương mại quốc tế - Tài chính quốc tế - Thương mại điện tử,7340120,7340120
334,Quản trị nhà hàng & dịch vụ ăn uống,7810202,7810202
335,Luật kinh tế: - Luật kinh doanh - Luật thương mại quốc tế - Luật tài chính ngân hàng,7380107,7380107
336,Đông phương học: - Hàn Quốc học - Nhật Bản học - Trung Quốc học,7310608,7310608
337,Logistics & quản lý chuỗi cung ứng,7510605,7510605
338,Công nghệ thực phẩm*,7540101,7540101
339,"Công nghệ sợi, dệt",7540202,7540202
340,Công nghệ may,7540205,7540205
341,"Công nghệ kỹ thuật điện tử, truyền thông",7510302,7510302
342,Cơ sở Hà Nội:,,
343,Ke toán,7340301_405,7340301_405
344,Mạng máy tính và truyền thông dữ liệu (ngành mới),7480102,7480102
345,Cồng nghệ thông tin,7480201,7480201
346,Cồng nghệ kỹ thuật cơ khí,7510201,7510201
347,Công nghệ kỹ thuật Cơ điện tử (ngành mới),7510203,7510203
348,Công nghệ kỹ thuật điều khiến và tự động hóa,7510303,7510303
349,Cơ sở Nam Định:,,
350,Mạng máy tính và truyền thông dữ liệu,7480102,7480102
351,Kinh doanh quốc tế (Phân hiệu tại Thừa Thiên Huế),7340120H,7340120H
352,Tài chính-Ngân hàng (Phân hiệu tại Thừa Thiên Huế),7340201H,7340201H
353,Kế toán (Phân hiệu tại Thừa Thiên Huế),7340301H,7340301H
